,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
0,2,1.1.1,1,Faf du Plessis,24,True,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,39.876,,1,0,1,Wd,0.237,4.412,0.161,0.658,5.0,5.0
1,2,1.1.2,1,Faf du Plessis,24,True,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,39.876,,0,0,0,,-0.143,10.242,-0.264,1.253,48.0,40.0
2,2,1.1.3,2,Faf du Plessis,24,True,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,38.889,,3,3,3,,-0.065,8.693,-0.06,0.776,87.0,57.0
1118,7,1.2.1,1,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,38.998,,0,0,0,,-0.209,8.319,-0.121,1.181,42.0,36.0
1119,7,1.2.2,2,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,38.597,,0,0,0,,-0.41,9.652,-0.648,0.76,32.0,29.0
1120,7,1.2.3,3,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,38.242,,1,1,1,,-0.43,8.573,-0.721,0.852,24.0,17.0
1124,7,1.2.7,6,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,40.003,,0,0,0,,-0.177,7.426,-0.196,0.727,5.0,5.0
1128,7,1.3.4,4,Faf du Plessis,24,True,Suresh Raina,14,Manpreet Gony,40,True,SEAM,35.652,,0,0,0,,-0.453,9.201,-0.703,0.759,5.0,5.0
1129,7,1.3.5,5,Faf du Plessis,24,True,Suresh Raina,14,Manpreet Gony,40,True,SEAM,34.804,,0,0,0,,-0.416,5.239,-0.447,0.796,5.0,5.0
1130,7,1.3.6,6,Faf du Plessis,24,True,Suresh Raina,14,Manpreet Gony,40,True,SEAM,36.946,,1,1,1,,-0.428,11.267,-0.556,0.957,32.0,14.0
1131,7,1.4.1,1,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,39.891,,1,1,1,,-0.076,7.221,0.093,0.682,84.0,20.0
1134,7,1.4.4,4,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,39.255,,1,1,1,,-0.388,7.195,-0.359,0.774,84.0,42.0
1136,7,1.4.6,6,Faf du Plessis,24,True,Suresh Raina,14,Dale Steyn,180,True,FAST_SEAM,41.309,,1,1,1,,-0.2,5.107,-0.112,0.528,67.0,55.0
1137,7,1.5.1,1,Faf du Plessis,24,True,Suresh Raina,14,Manpreet Gony,40,True,SEAM,39.526,,0,0,0,,-0.268,8.674,-0.039,0.701,46.0,42.0
