,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
63920,1.4.6,6,True,True,FAST_SEAM,39.013,0,0,0,,0.561,6.263,-0.53,0.676,5.0,5.0
63926,1.5.6,6,True,True,MEDIUM_SEAM,35.72,0,0,0,,0.103,5.94,-0.185,0.703,0.0,0.0
64999,2.13.1,1,True,False,SEAM,35.842,1,1,1,,0.451,8.134,-0.288,0.823,14.0,38.0
65002,2.13.4,4,True,False,SEAM,36.827,1,1,1,,0.474,6.813,-0.256,0.721,16.0,40.0
65004,2.13.6,6,True,False,SEAM,36.486,0,0,0,,0.382,8.493,-0.119,1.152,45.0,40.0
65006,2.14.2,2,True,False,UNORTHODOX,21.236,4,4,4,,-0.128,3.901,-0.098,0.961,17.0,72.0
65007,2.14.3,3,True,False,UNORTHODOX,22.217,1,1,1,,0.18,3.406,-0.371,0.653,42.0,22.0
65010,2.14.6,6,True,False,UNORTHODOX,25.034,0,0,0,,-0.188,4.573,-0.031,0.648,34.0,28.0
65013,2.15.3,3,True,False,SEAM,26.282,1,1,1,,0.12,2.179,-0.023,0.433,37.0,81.0
65015,2.15.5,5,True,False,SEAM,24.989,4,4,4,,-0.156,2.329,-0.025,0.575,47.0,94.0
65016,2.15.6,6,True,False,SEAM,26.201,6,6,6,,0.105,8.691,0.031,0.784,89.0,65.0
65019,2.16.3,3,True,True,FAST_SEAM,39.875,4,4,4,,0.413,9.699,-0.232,1.022,62.0,7.0
65020,2.16.4,4,True,True,FAST_SEAM,37.785,6,6,6,,0.289,5.987,-0.275,0.59,20.0,77.0
65021,2.16.5,5,True,True,FAST_SEAM,37.981,6,6,6,,0.372,3.711,-0.344,0.372,15.0,72.0
65022,2.16.6,6,True,True,FAST_SEAM,37.825,1,1,1,,0.235,8.091,0.081,0.765,29.0,27.0
65023,2.17.1,1,True,False,SEAM,26.354,2,2,2,,-0.184,3.919,0.306,0.574,79.0,70.0
65025,2.17.3,3,True,False,SEAM,25.279,1,1,1,,0.376,2.322,-0.323,0.499,50.0,87.0
65029,2.18.1,1,True,False,SEAM,36.036,1,1,1,,-0.667,0.408,0.708,0.085,86.0,52.0
65031,2.18.3,3,True,False,SEAM,28.443,0,0,0,,0.714,13.453,-0.488,1.492,5.0,5.0
65032,2.18.4,4,True,False,SEAM,38.042,0,0,0,,0.685,12.681,0.052,2.045,5.0,5.0
65033,2.18.5,5,True,False,SEAM,35.987,2,2,2,,0.212,4.454,0.106,0.47,88.0,53.0
65034,2.18.6,6,True,False,SEAM,32.888,0,0,0,,0.713,9.441,-0.161,1.04,46.0,41.0
65037,2.19.3,3,True,True,FAST_SEAM,37.767,0,0,0,,0.177,5.015,-0.68,0.521,43.0,62.0
65743,1.4.4,4,True,True,MEDIUM_SEAM,36.963,0,0,0,,0.328,8.96,-0.254,1.067,57.0,42.0
65744,1.4.5,5,True,True,MEDIUM_SEAM,36.704,0,0,0,,0.338,7.153,-0.513,0.809,5.0,5.0
65745,1.4.6,6,True,True,MEDIUM_SEAM,36.627,0,0,0,,0.172,6.929,-0.284,0.812,45.0,45.0
