,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
63920,4042,1.4.6,6,Jos Buttler,509,True,Hardik Pandya,2740,Ishant Sharma,38,True,FAST_SEAM,39.013,,0,0,0,,-0.561,6.263,-0.53,0.676,5.0,5.0
63926,4042,1.5.6,6,Jos Buttler,509,True,Ambati Rayudu,100,Mitchell Marsh,221,True,MEDIUM_SEAM,35.72,c Ravichandran Ashwin b Mitchell Marsh,0,0,0,,-0.103,5.94,-0.185,0.703,0.0,0.0
64999,4046,2.13.1,1,Jos Buttler,509,True,Rohit Sharma,107,John Hastings,748,False,SEAM,35.842,,1,1,1,,-0.451,8.134,-0.288,0.823,14.0,38.0
65002,4046,2.13.4,4,Jos Buttler,509,True,Rohit Sharma,107,John Hastings,748,False,SEAM,36.827,,1,1,1,,-0.474,6.813,-0.256,0.721,16.0,40.0
65004,4046,2.13.6,6,Jos Buttler,509,True,Rohit Sharma,107,John Hastings,748,False,SEAM,36.486,,0,0,0,,-0.382,8.493,-0.119,1.152,45.0,40.0
65013,4046,2.15.3,3,Jos Buttler,509,True,Rohit Sharma,107,Brad Hogg,231,False,SEAM,26.282,,1,1,1,,-0.12,2.179,-0.023,0.433,37.0,81.0
65015,4046,2.15.5,5,Jos Buttler,509,True,Rohit Sharma,107,Brad Hogg,231,False,SEAM,24.989,,4,4,4,,0.156,2.329,-0.025,0.575,47.0,94.0
65016,4046,2.15.6,6,Jos Buttler,509,True,Rohit Sharma,107,Brad Hogg,231,False,SEAM,26.201,,6,6,6,,-0.105,8.691,0.031,0.784,89.0,65.0
65019,4046,2.16.3,3,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,39.875,,4,4,4,,-0.413,9.699,-0.232,1.022,62.0,7.0
65020,4046,2.16.4,4,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,37.785,,6,6,6,,-0.289,5.987,-0.275,0.59,20.0,77.0
65021,4046,2.16.5,5,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,37.981,,6,6,6,,-0.372,3.711,-0.344,0.372,15.0,72.0
