,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
0,2,1.1.1,1,Faf du Plessis,24,True,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,39.876,,1,0,1,Wd,0.237,4.412,0.161,0.658,5.0,5.0
1,2,1.1.2,1,Faf du Plessis,24,True,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,39.876,,0,0,0,,-0.143,10.242,-0.264,1.253,48.0,40.0
2,2,1.1.3,2,Faf du Plessis,24,True,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,38.889,,3,3,3,,-0.065,8.693,-0.06,0.776,87.0,57.0
3,2,1.1.4,3,Murali Vijay,7,False,Faf du Plessis,24,Lasith Malinga,211,True,FAST_SEAM,39.901,,0,0,0,,-0.196,8.27,-0.273,0.697,33.0,27.0
4,2,1.1.5,4,Murali Vijay,7,False,Faf du Plessis,24,Lasith Malinga,211,True,FAST_SEAM,39.339,run out (Ambati Rayudu),0,0,0,,-0.083,9.085,-0.097,0.916,0.0,0.0
5,2,1.1.6,5,Suresh Raina,14,False,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,40.144,,0,0,0,,0.019,1.607,0.002,0.178,40.0,38.0
6,2,1.1.7,6,Suresh Raina,14,False,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,39.544,,1,1,1,,0.151,10.49,0.461,1.441,80.0,19.0
14,2,1.3.1,1,Suresh Raina,14,False,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,39.775,,3,3,3,,0.227,8.032,0.452,0.809,88.0,51.0
15,2,1.3.2,2,Murali Vijay,7,False,Suresh Raina,14,Lasith Malinga,211,True,FAST_SEAM,39.535,,0,0,0,,-0.17,9.349,-0.269,0.959,35.0,26.0
16,2,1.3.3,3,Murali Vijay,7,False,Suresh Raina,14,Lasith Malinga,211,True,FAST_SEAM,34.722,,0,0,0,,-0.131,7.344,-0.098,0.797,37.0,37.0
17,2,1.3.4,4,Murali Vijay,7,False,Suresh Raina,14,Lasith Malinga,211,True,FAST_SEAM,34.975,,0,0,0,,-0.372,8.169,-0.326,0.747,34.0,36.0
18,2,1.3.5,5,Murali Vijay,7,False,Suresh Raina,14,Lasith Malinga,211,True,FAST_SEAM,40.015,,1,1,1,,-0.081,5.499,-0.082,0.465,36.0,58.0
19,2,1.3.6,6,Suresh Raina,14,False,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,38.597,,1,0,1,Wd,-0.081,5.499,-0.082,0.465,5.0,5.0
20,2,1.3.7,6,Suresh Raina,14,False,Murali Vijay,7,Lasith Malinga,211,True,FAST_SEAM,40.069,,1,1,1,,0.14,11.499,0.677,1.04,77.0,15.0
