,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
158,2,2.6.1,1,Richard Levi,266,True,Sachin Tendulkar,97,Ravindra Jadeja,9,False,ORTHODOX,24.176,,4,4,4,,0.122,5.574,0.435,0.898,90.0,19.0
159,2,2.6.2,2,Richard Levi,266,True,Sachin Tendulkar,97,Ravindra Jadeja,9,False,ORTHODOX,24.213,,6,6,6,,-0.172,5.391,-0.201,0.766,90.0,63.0
160,2,2.6.3,3,Richard Levi,266,True,Sachin Tendulkar,97,Ravindra Jadeja,9,False,ORTHODOX,26.38,,1,1,1,,-0.516,4.454,-0.427,0.49,62.0,83.0
161,2,2.6.4,4,Sachin Tendulkar,97,True,Richard Levi,266,Ravindra Jadeja,9,False,ORTHODOX,24.234,,1,1,1,,0.075,6.008,0.314,1.044,60.0,22.0
162,2,2.6.5,5,Richard Levi,266,True,Sachin Tendulkar,97,Ravindra Jadeja,9,False,ORTHODOX,28.251,,0,0,0,,-0.137,5.218,0.291,0.547,36.0,29.0
163,2,2.6.6,6,Richard Levi,266,True,Sachin Tendulkar,97,Ravindra Jadeja,9,False,ORTHODOX,27.686,,4,4,4,,0.392,2.564,0.626,0.567,68.0,8.0
1302,7,2.11.1,1,Parthiv Patel,44,False,Cameron White,178,Ravindra Jadeja,9,False,ORTHODOX,26.102,,4,4,4,,0.104,7.091,-0.255,0.912,6.0,34.0
1303,7,2.11.2,2,Parthiv Patel,44,False,Cameron White,178,Ravindra Jadeja,9,False,ORTHODOX,24.14,,0,0,0,,0.491,1.708,0.528,0.365,53.0,32.0
1304,7,2.11.3,3,Parthiv Patel,44,False,Cameron White,178,Ravindra Jadeja,9,False,ORTHODOX,26.437,b Ravindra Jadeja,0,0,0,,0.503,3.371,0.459,0.268,0.0,0.0
1305,7,2.11.4,4,Bharat Chipli,35,False,Cameron White,178,Ravindra Jadeja,9,False,ORTHODOX,24.507,,0,0,0,,0.1,3.283,0.115,0.691,61.0,58.0
1306,7,2.11.5,5,Bharat Chipli,35,False,Cameron White,178,Ravindra Jadeja,9,False,ORTHODOX,24.716,,0,0,0,,-0.119,4.593,-0.051,0.774,40.0,44.0
1307,7,2.11.6,6,Bharat Chipli,35,False,Cameron White,178,Ravindra Jadeja,9,False,ORTHODOX,26.784,,1,1,1,,-0.275,4.4,-0.173,0.533,16.0,41.0
1314,7,2.13.1,1,Bharat Chipli,35,False,Dan Christian,181,Ravindra Jadeja,9,False,ORTHODOX,24.447,,6,6,6,,-0.229,4.25,-0.392,0.925,6.0,56.0
1315,7,2.13.2,2,Bharat Chipli,35,False,Dan Christian,181,Ravindra Jadeja,9,False,ORTHODOX,27.822,,0,0,0,,-0.152,4.495,0.061,0.701,50.0,39.0
1316,7,2.13.3,3,Bharat Chipli,35,False,Dan Christian,181,Ravindra Jadeja,9,False,ORTHODOX,27.251,b Ravindra Jadeja,0,0,0,,-0.164,6.421,-0.055,0.459,0.0,0.0
1317,7,2.13.4,4,Manpreet Gony,40,True,Dan Christian,181,Ravindra Jadeja,9,False,ORTHODOX,28.034,,0,0,0,,-0.367,4.495,-0.189,0.574,40.0,43.0
1318,7,2.13.5,5,Manpreet Gony,40,True,Dan Christian,181,Ravindra Jadeja,9,False,ORTHODOX,24.485,,0,0,0,,-0.139,5.852,-0.056,0.933,43.0,34.0
1319,7,2.13.6,6,Manpreet Gony,40,True,Dan Christian,181,Ravindra Jadeja,9,False,ORTHODOX,28.136,,1,1,1,,-0.036,2.385,0.106,0.44,76.0,47.0
1326,7,2.15.1,1,Manpreet Gony,40,True,Dwaraka Ravi Teja,36,Ravindra Jadeja,9,False,ORTHODOX,24.099,c Suresh Raina b Ravindra Jadeja,0,0,0,,-0.12,3.999,-0.121,0.791,0.0,0.0
1327,7,2.15.2,2,Dwaraka Ravi Teja,36,False,Ankit Sharma,32,Ravindra Jadeja,9,False,ORTHODOX,24.164,,0,0,0,,-0.124,4.097,-0.16,0.727,38.0,42.0
1328,7,2.15.3,3,Dwaraka Ravi Teja,36,False,Ankit Sharma,32,Ravindra Jadeja,9,False,ORTHODOX,23.932,st MS Dhoni b Ravindra Jadeja,0,0,0,,-0.089,3.712,-0.271,0.822,0.0,0.0
1329,7,2.15.4,4,Dale Steyn,180,True,Ankit Sharma,32,Ravindra Jadeja,9,False,ORTHODOX,27.735,,0,0,0,,-0.235,1.89,-0.132,0.369,40.0,36.0
1330,7,2.15.5,5,Dale Steyn,180,True,Ankit Sharma,32,Ravindra Jadeja,9,False,ORTHODOX,23.795,,0,0,0,,-0.43,4.524,-0.601,0.764,5.0,5.0
1331,7,2.15.6,6,Dale Steyn,180,True,Ankit Sharma,32,Ravindra Jadeja,9,False,ORTHODOX,23.669,,2,2,2,,-0.164,3.134,-0.387,0.645,31.0,10.0
